URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://example.org/ValueSet/GENYesNoUnknownVS,0.1.0,active,,GENYesNoUnknownVS,GEN - Yes/No/Unknown value set,"",,"Internal"
http://example.org/ValueSet/RRTGENSexVS,0.1.0,active,,RRTGENSexVS,RRT - GEN - Sex value set,"",,"Internal"
http://example.org/ValueSet/SusceptibleResistantIndeterminateVS,0.1.0,active,,SusceptibleResistantIndeterminateVS,Susceptible/Resistant/Indeterminate value set,"",,"Internal"
http://example.org/ValueSet/TBCSConfirmationMethodVS,0.1.0,active,,TBCSConfirmationMethodVS,TB CS - Confirmation method value set,"",,"Internal"
http://example.org/ValueSet/TBCSDenotificationReasonsVS,0.1.0,active,,TBCSDenotificationReasonsVS,TB CS - Denotification reasons value set,"",,"Internal"
http://example.org/ValueSet/TBCSResistanceClassificationVS,0.1.0,active,,TBCSResistanceClassificationVS,TB CS - Resistance Classification value set,"",,"Internal"
http://example.org/ValueSet/TBCSSiteOfDiseaseVS,0.1.0,active,,TBCSSiteOfDiseaseVS,TB CS - Site of disease value set,"",,"Internal"
http://example.org/ValueSet/TBCSTreatmentCategoryVS,0.1.0,active,,TBCSTreatmentCategoryVS,TB CS - Treatment category value set,"",,"Internal"
http://example.org/ValueSet/TBCSTreatmentHistoryVS,0.1.0,active,,TBCSTreatmentHistoryVS,TB CS - Treatment history value set,"",,"Internal"
http://example.org/ValueSet/TBCSTreatmentOutcomeVS,0.1.0,active,,TBCSTreatmentOutcomeVS,TB CS - Treatment outcome value set,"",,"Internal"
http://example.org/ValueSet/TBLABDSTResultVS,0.1.0,active,,TBLABDSTResultVS,TB-LAB - DST result value set,"",,"Internal"
http://example.org/ValueSet/TBLABFinalCultureResultVS,0.1.0,active,,TBLABFinalCultureResultVS,TB-LAB - Final culture result value set,"",,"Internal"
http://example.org/ValueSet/TBLABLPASpecimenVS,0.1.0,active,,TBLABLPASpecimenVS,TB-LAB - LPA specimen value set,"",,"Internal"
http://example.org/ValueSet/TBLABMTBTestResultVS,0.1.0,active,,TBLABMTBTestResultVS,TB-LAB - MTB test result value set,"",,"Internal"
http://example.org/ValueSet/TBLABSampleQualityVS,0.1.0,active,,TBLABSampleQualityVS,TB-LAB - Sample quality value set,"",,"Internal"
http://example.org/ValueSet/TBLABSampleStatusVS,0.1.0,active,,TBLABSampleStatusVS,TB-LAB - Sample status value set,"",,"Internal"
http://example.org/ValueSet/TBLABSmearResultVS,0.1.0,active,,TBLABSmearResultVS,TB-LAB - Smear result value set,"",,"Internal"
